Deutsch_grundform,spanisch_grundform
Eintracht,concordia
Eintragung,registro
Eintritt,entrada
Einverständnis,consentimiento
Einwand,objeción
Einwanderer,inmigrante
Einwanderung,inmigración
Einweisung,instrucción
Einwilligung,consentimiento
Einwirkung,influencia
Einwohner,habitante
Einzelhandel,comercio minorista
Einzelheit,detalle
Eisenbahn,ferrocarril
Eitelkeit,vanidad
Ekel,asco
Ekstase,éxtasis
Elastizität,elasticidad
Elektrizität,electricidad
Elektromagnetismus,electromagnetismo
Elektronik,electrónica
Elemente,elementos
Elend,miseria
Eliminierung,eliminación
Elite,élite
Elitismus,elitismo
Eloquenz,elocuencia
Emanzipationssoziologie,sociología de la emancipación
Embargo,embargo
Embryologie,embriología
Emigrationskultur,cultura de emigración
Emission,emisión
Emissionsminderung,reducción de emisiones
Emotionalität,emocionalidad
Emotionsentfaltung,desarrollo emocional
Emotionsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo afectivo
Emotionssoziologie,sociología emocional
Empathie,empatía
Empathieentfaltung,desarrollo de la empatía
Empathieentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo empático
Empathiefähigkeit,capacidad de empatía
Empfang,recepción
Empfehlung,recomendación
Empfindlichkeit,sensibilidad
Empfindung,sensación
Empirismus,empirismo
Empowermentsoziologie,sociología del empowerment
Empörung,indignación
Ende,fin
Endokrinologie,endocrinología
Energie,energía
Energieeffizienz,eficiencia energética
Energiegerechtigkeit,justicia energética
Energieverschwendung,derroche de energía
Energiewende,transición energética
Enharmonik,enarmonía
Enkulturationsoziologie,sociología de la enculturación
Entbehrlichkeit,prescindibilidad
Entdeckergeist,espíritu descubridor
Entfremdung,alienación
Entfremdungseffekt,efecto de alienación
Entfremdungssoziologie,sociología de la alienación
Enthemmung,desinhibición
Entmenschlichung,deshumanización
Entropie,entropía
Entscheidung,decisión
Entscheidungsfindung,toma de decisiones
Entscheidungsfähigkeitskrisesoziologie,sociología de crisis de capacidad decisoria
Entscheidungssoziologie,sociología de la toma de decisiones
Entscheidungstheorie,teoría de la decisión
Entschleunigungssoziologie,sociología de la desaceleración
Entschlossenheit,determinación
Entspannung,distensión
Entspannungssoziologie,sociología de la relajación
Enttabuisierung,ruptura de tabúes
Enttäuschung,decepción
Entwaffnung,desarme
Entwertung,devaluación
Entwicklung,desarrollo
Entwicklungsauftrag,mandato de desarrollo
Entwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo
Entwicklungshilfesoziologie,sociología de cooperación al desarrollo
Entwicklungsland,país en desarrollo
Entwicklungsorientierung,orientación al desarrollo
Entwicklungsperspektive,perspectiva de desarrollo
Entwicklungsprinzip,principio de desarrollo
Entwicklungspsychologie,psicología del desarrollo
Entwicklungssoziologie,sociología del desarrollo
entwicklungsstadien,estadios de desarrollo
Entwicklungszusammenarbeit,cooperación al desarrollo
Entzifferung,descifrado
Entzug,privación
Entzündung,inflamación
Epidemie,epidemia
Epidemiologie,epidemiología
Epidemisch,epidémico
Epilepsie,epilepsia
Episode,episodio
Episodenhaft,episódico
Epistemologie,epistemología
Epitheton,epíteto
Epitom,epítome
Epoche,época
Erbe,herencia
Erbschaft,herencia
Ereignis,evento
Erfahrung,experiencia
Erfahrungsschatz,acervo de experiencias
Erfahrungszuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento experiencial
Erfindung,invención
Erfindungsreichtum,inventiva
Erfolg,éxito
Erfolgsauftrag,mandato de éxito
Erfolgssoziologie,sociología del éxito
Erfordernis,requisito
Erforschung,investigación
Erfüllung,cumplimiento
Ergebnis,resultado
Ergebnisfairness,equidad de resultados
Ergebnisorientierung,orientación a resultados
Ergonomie,ergonomía
Ergriffenheit,emoción
Ergänzung,complemento
Erhaltung,conservación
Erhaltungsauftrag,mandato conservador
Erhebung,elevación
Erholung,descanso
Erinnerung,recuerdo
Erinnerungssoziologie,sociología de la memoria
Erkenntniserweiterung,ampliación del conocimiento
Erkenntnisinteresse,interés cognitivo
Erkenntnissoziologie,sociología del conocimiento científico
erkenntnisstreben,esfuerzo de conocimiento
Erkenntnistheorie,teoría del conocimiento
Erkenntnistrieb,impulso de conocimiento
Erkenntniszuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento cognitivo
Erkennung,reconocimiento
Erklärung,explicación
Erkrankung,enfermedad
Erkundung,exploración
Erkältung,resfriado
Erlaubnis,permiso
Erlebnis,experiencia
Erlebnishunger,hambre de experiencias
Erledigung,resolución
Erleichterung,alivio
Erleuchtung,iluminación
Erlösung,redención
Ermahnung,amonestación
Ermittlung,investigación
Ermordung,asesinato
Ermutigung,aliento
Ermächtigung,habilitación
Ermächtigungssoziologie,sociología del empoderamiento
Ermäßigung,descuento
Ermüdung,fatiga
Ernennung,nombramiento
Erneuerung,renovación
Erneuerungsauftrag,mandato renovador
Erneuerungswille,voluntad de renovación
Ernährung,nutrición
Ernährungsgerechtigkeit,justicia alimentaria
Ernährungssoziologie,sociología nutricional
Eroberung,conquista
Erosion,erosión
Erotik,erótica
Erotismus,erotismo
Erpressung,chantaje
Erregung,excitación
Erreichung,logro
Errettung,salvación
Errichtung,construcción
Ersatz,sustituto
Erscheinung,aparición
Erschließung,desarrollo
Erschöpfung,agotamiento
Erschöpfungssoziologie,sociología del agotamiento
Erschütterung,conmoción
Ersparnis,ahorro
Erstattung,reembolso
Erstellung,creación
Erstickung,asfixia
Erteilung,otorgamiento
Ertrag,rendimiento
Ertragsauftrag,mandato de beneficios
Ertragslage,situación de beneficios
ertrinken,ahogamiento
erwachen,despertar
Erwachsene,adulto
Erwachsenenbildung,educación de adultos
Erwachsenensoziologie,sociología de la adultez
Erwartung,expectativa
Erwerbstätigkeit,actividad laboral
Erwiderung,respuesta
Erwägung,consideración
Erwähnung,mención
Erzeugnis,producto
Erzeugung,producción
Erziehung,educación
Erziehungsauftrag,mandato educativo
Erziehungssoziologie,sociología de la educación
Erzählung,narración
Eröffnung,apertura
Eskapismus,escapismo
Eskort,escolta
Esoterik,esoterismo
Essentialismus,esencialismo
Etablierung,establecimiento
Ethik,ética
Ethikauftrag,mandato ético
Ethnologie,etnología
Etikette,etiqueta
Etymologie,etimología
Eucharistie,eucaristía
Euphemismus,eufemismo
Euphorie,euforia
Europäisierung,europeización
Euthanasie,eutanasia
Evaluationssoziologie,sociología de la evaluación
Evangelismus,evangelismo
Eventuell,eventual
Evolutionsbiologie,biología evolutiva
Evolutionsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo evolutivo
Evolutionär,evolutivo
Exaktheit,exactitud
examen,examen
Exempel,ejemplo
Exerzitium,ejercicio
Exhibitionismus,exhibicionismo
Exil,exilio
Exilsoziologie,sociología del exilio
Existentialismus,existencialismo
Existenz,existencia
Existenzkrisesoziologie,sociología de la crisis existencial
Exklusionsmechanismus,mecanismo de exclusión
Exklusivität,exclusividad
Exodus,éxodo
Expansion,expansión
Experimentaldesign,diseño experimental
Experimentalismus,experimentalismo
Experimentierbereitschaftskrisesoziologie,sociología de crisis de disposición a la experimentación
Experimentierfreude,gusto por experimentar
Experte,experto
Expertentum,experiencia
Expertisesoziologie,sociología de la experiencia
Explosion,explosión
Exponentialität,exponencialidad
Export,exportación
Expression,expresión
Expressionismus,expresionismo
Extravaganz,extravagancia
Extremismus,extremismo
Extremismussoziologie,sociología del extremismo
Exzellenz,excelencia
Exzellenzauftrag,mandato de excelencia
Exzellenzorientierung,orientación a la excelencia
Exzellenzprinzip,principio de excelencia
Fabel,fábula
Facette,faceta
Fachkompetenz,competencia profesional
Fachmann,especialista
fachwissen,conocimiento especializado
Fahrer,conductor
Fahrlässigkeit,negligencia
Fahrt,viaje
Fairness,equidad
Fairnessauftrag,mandato de equidad
Faktizität,facticidad
Faktor,factor
faktoren,factores
Fakultät,facultad
Falschheit,falsedad
Familiarität,familiaridad
Familie,familia
Familiengerechtigkeit,justicia familiar
Familiensoziologie,sociología de la familia
Fanatismus,fanatismo
Fanatismussoziologie,sociología del fanatismo
Fantasie,fantasía
Fantasieentfaltung,desarrollo de la imaginación
Farbe,color
Farbenblindheit,daltonismo
Faschismus,fascismo
Fassade,fachada
Fassung,versión
Fatalismus,fatalismo
Faulheit,pereza
Favorisierung,favoritismo
Februar,febrero
Fechterstellung,posición de esgrima
Federung,suspensión
Fehleinschätzung,evaluación errónea
Fehler,error
Feier,celebración
Feiersoziologie,sociología celebrativa
Feinheit,finura
Feld,campo
Feldzug,campaña
Feminismus,feminismo
Fenster,ventana
ferien,vacaciones
fernsehen,televisión
Fernweh,nostalgia de lugares lejanos
Fertigkeit,destreza
Fertigstellung,finalización
Fessel,grillete
Festigkeit,solidez
Festlegung,determinación
Festnahme,detención
Festsoziologie,sociología festiva
Feststellung,constatación
Feudalismus,feudalismo
Feuer,fuego
Fieber,fiebre
Figur,figura
Filiale,sucursal
Film,película
Filmsoziologie,sociología cinematográfica
Filologie,filología
Filter,filtro
Filterung,filtración
Finanzierung,financiación
Findung,hallazgo
Firma,empresa
Fischerei,pesca
Fitness,forma física
Fixierung,fijación
Fleiß,diligencia
Flexibilisierung,flexibilización
Flexibilität,flexibilidad
Flexibilitätskrisesoziologie,sociología de crisis de flexibilidad
Flexibilitätsoziologie,sociología de la flexibilidad
Flexibilitätsprinzip,principio de flexibilidad
Fließband,cadena de montaje
Flotte,flota
Flucht,huida
Fluchtsoziologie,sociología de la huida
Flug,vuelo
Flugzeug,avión
Flut,inundación
Flüchtigkeit,fugacidad
Flüchtling,refugiado
Fokus,foco
Folge,consecuencia
Folgensoziologie,sociología de las consecuencias
Folklore,folclore
Folter,tortura
Forderung,exigencia
Form,forma
Formalisierung,formalización
Formalismus,formalismo
Formel,fórmula
Formulierung,formulación
Forscherdrang,impulso investigador
Forschung,investigación
Forschungsauftrag,mandato investigativo
Forschungssoziologie,sociología de la investigación
Forschungsverantwortung,responsabilidad investigativa
Fortbildungsbereitschaftskrisesoziologie,sociología de crisis de disposición al perfeccionamiento
Fortschritt,progreso
Fortschrittlichkeit,progresismo
Fortschrittsauftrag,mandato progresista
fortschrittsdenken,pensamiento progresista
Fortschrittssoziologie,sociología del progreso
Forum,foro
Fotografie,fotografía
Fotosynthese,fotosíntesis
Frage,pregunta
Fragmentarisch,fragmentario
Fragmentierung,fragmentación
Frankfurter,frankfurter
Frankreich,Francia
Frau,mujer
Frauenrechte,derechos de la mujer
Frauensoziologie,sociología de la mujer
Freiheit,libertad
Freistellung,liberación
Freizeit,tiempo libre
Freizeitsoziologie,sociología del ocio
Fremdbestimmung,heteronomía
Fremdheit,extrañeza
Fremdsprachenerwerb,adquisición de lenguas extranjeras
Frequenz,frecuencia
Freude,alegría
Freundlichkeit,amabilidad
Freundschaft,amistad
frieden,paz
Friedensoziologie,sociología de la paz
Friedensverantwortung,responsabilidad de paz
Friedhofsoziologie,sociología cementerial
Frist,plazo
Front,frente
Frontalität,frontalidad
Frust,frustración
Fukushima,Fukushima
Fundamentalismus,fundamentalismo
Fundamentalismussoziologie,sociología fundamentalista
Fundamentierung,fundamentación
Fundraisingsoziologie,sociología de la captación de fondos
Funktionalismus,funcionalismo
Funktionsdifferenzierung,diferenciación funcional
Funktionsträger,funcionario
Funktionswechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio funcional
Funktionszusammenhang,relación funcional
Furcht,miedo
Furchtsoziologie,sociología del miedo
Fusion,fusión
Futurismus,futurismo
Fußball,fútbol
Fähigkeit,habilidad
Fähigkeitentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo de habilidades
Fähigkeitserweiterung,ampliación de habilidades
Fähigkeitsoziologie,sociología de habilidades
Föderalismus,federalismo
Föderalismusprinzip,principio federalista
Förderung,fomento
Förderungsauftrag,mandato de fomento
Fügung,disposición
Führer,líder
Führung,liderazgo
Führungsentwicklungsoziologie,sociología del desarrollo de liderazgo
Führungsfähigkeitsentfaltung,desarrollo de la capacidad de liderazgo
Führungsgestaltungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la configuración del liderazgo
Führungssoziologie,sociología del liderazgo
Fülle,abundancia
Fürsorge,cuidado
Gabe,don
Galvanisierung,galvanización
Gamificationsoziologie,sociología de la ludificación
Gang,marcha
Ganzheitlichkeit,integralidad
Ganzheitszuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento integral
Garantie,garantía
Garderobe,guardarropa
garten,jardín
Gast,huésped
Gastfreundschaft,hospitalidad
Gattung,género
Gattungsgeschichte,historia del género
Gebiet,área
Geborgenheit,seguridad
Gebot,mandamiento
Gebrauch,uso
Gebrauchsanweisung,instrucciones de uso
Geburt,nacimiento
Gebäude,edificio
Gebühr,tarifa
Gedanke,pensamiento
Gedenksoziologie,sociología conmemorativa
Gedicht,poema
Geduld,paciencia
Gedächtnis,memoria
Gedächtniskunst,mnemotecnia
Gefahr,peligro
gefallen,favor
Gefaß,recipiente
Gefecht,combate
Gefährdung,peligro
Gefängnis,prisión
Gefühl,sentimiento
Gefühlsentfaltung,desarrollo de sentimientos
Gefühlsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo emocional
Gefühlssoziologie,sociología de sentimientos
Gegend,región
Gegenkultursoziologie,sociología contracultural
Gegensatz,contraste
Gegenstand,objeto
Gegenteil,contrario
Gegenwart,presente
Gegenwartskunst,arte contemporáneo
Gehalt,salario
Geheimnis,secreto
Gehorsam,obediencia
Gehorsamsoziologie,sociología de la obediencia
Gehör,oído
Geist,espíritu
Geistentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo espiritual
Geistesblitz,inspiración
Geisteswissenschaft,humanidades
Gelassenheit,serenidad
Gelbsucht,ictericia
Geld,dinero
Gelegenheit,oportunidad
Gelehrte,erudito
Gelenk,articulación
Geltung,validez
Geltungsbereich,ámbito de validez
Gemeinde,comunidad
Gemeinnützigkeitsoziologie,sociología de organizaciones benéficas
Gemeinschaft,comunidad
Gemeinschaftsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo comunitario
Gemeinschaftsfähigkeitsentfaltung,desarrollo de la capacidad comunitaria
Gemeinschaftsgefühl,sentido de comunidad
Gemeinschaftssoziologie,sociología comunitaria
Gemeinsinn,sentido comunitario
Gemeinwesenarbeitsoziologie,sociología del desarrollo comunitario
Gemeinwohl,bien común
Gemeinwohlauftrag,mandato de bien común
Gemeinwohlorientierung,orientación al bien común
Gemäß,según
Gemüt,ánimo
Genauigkeit,precisión
Genehmigung,aprobación
Generalisierbarkeit,generalizable
Generalisierung,generalización
Generationengerechtigkeit,justicia generacional
Generationenperspektive,perspectiva generacional
Generationenrecht,derecho generacional
Generationensoziologie,sociología generacional
Generationenverantwortung,responsabilidad generacional
Genetik,genética
Genialität,genialidad
Genie,genio
Genosse,camarada
Genozid,genocidio
Gentrifizierung,gentrificación
Genuss,disfrute
Geographie,geografía
Geometrie,geometría
Geopolitik,geopolítica
Gepäck,equipaje
Gerechtigkeit,justicia
Gerechtigkeitsauftrag,mandato de justicia
Gerechtigkeitsverantwortung,responsabilidad de justicia
Gericht,tribunal
Geringschätzung,menosprecio
Geruch,olor
Gerücht,rumor
Gerüst,andamio
Gesamtheit,totalidad
geschehen,suceso
Geschenk,regalo
Geschichte,historia
Geschichtsbewusstsein,conciencia histórica
Geschick,habilidad
Geschlecht,género
Geschlechtergerechtigkeit,justicia de género
Geschlechterkultursoziologie,sociología de cultura de género
Geschlechterperspektive,perspectiva de género
Geschlechtersoziologie,sociología de género
Geschmack,gusto
Geschmacklosigkeit,mal gusto
Geschmackssoziologie,sociología del gusto
Geschwindigkeit,velocidad
Geschäft,negocio
Geschäftstüchtigkeit,habilidad comercial
Geselligkeit,sociabilidad
Gesellschaft,sociedad
Gesellschaftsauftrag,mandato social
Gesellschaftsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo social
Gesellschaftsfähigkeitsentfaltung,desarrollo de la capacidad social
Gesellschaftskritik,crítica social
Gesellschaftssoziologie,sociología social
Gesellschaftstheorie,teoría social
Gesetz,ley
Gesetze,leyes
Gesetzgebung,legislación
Gesicht,cara
Gesichtspunkt,punto de vista
Gesichtsverlust,pérdida de prestigio
Gesinnung,mentalidad
Gespräch,conversación
Gestalt,forma
Gestaltung,configuración
Gestaltungsauftrag,mandato configurativo
Gestaltungsorientierung,orientación creativa
Geste,gesto
Geständnis,confesión
Gesundheit,salud
Gesundheitsförderungsoziologie,sociología de promoción de la salud
Gesundheitsgerechtigkeit,justicia sanitaria
Gesundheitsorientierung,orientación a la salud
Gesundheitssoziologie,sociología de la salud
gesundheitswesen,sistema sanitario
Getränk,bebida
Gewalt,violencia
Gewaltenteilung,separación de poderes
Gewaltenteilungsauftrag,mandato de separación de poderes
Gewaltmonopol,monopolio de la violencia
Gewaltsoziologie,sociología de la violencia
Gewalttätigkeit,violencia
Gewand,vestidura
Gewerbe,comercio
Gewerkschaftssoziologie,sociología sindical
gewerkschaftswesen,sindicalismo
Gewicht,peso
Gewichtung,ponderación
Gewinn,ganancia
Gewinnauftrag,mandato de ganancias
gewissen,conciencia
Gewissenhaftigkeit,conciencia
Gewissensauftrag,mandato de conciencia
Gewissheit,certeza
Gewohnheit,costumbre
Gewohnheitsänderungsbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio de hábitos
Gewähr,garantía
Gewährleistung,garantía
Gewässerschutz,protección de aguas
Gewöhnung,acostumbramiento
Giftigkeit,toxicidad
Gipfel,cumbre
Glaube,creencia
glauben,fe
Glaubenssoziologie,sociología de la creencia
Glaubensänderungsbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio de creencias
Glaubwürdigkeit,credibilidad
Gleichberechtigung,igualdad de derechos
Gleichgewicht,equilibrio
Gleichgültigkeit,indiferencia
Gleichgültigkeitssoziologie,sociología de la indiferencia
Gleichheit,igualdad
Gleichschaltung,coordinación
Gleichstellungsauftrag,mandato de igualdad
Gleichstellungspolitik,política de igualdad
Gleichung,ecuación
Glied,miembro
Gliederung,estructura
Globalisierung,globalización
globalisierungsfolgen,consecuencias de la globalización
Glück,suerte
Glückseligkeit,beatitud
Glückwunsch,felicitación
Gnade,gracia
Gnosis,gnosis
Gold,oro
Gottesdienst,servicio religioso
Gottesfurcht,temor de Dios
Governance,gobernanza
Grab,tumba
Grad,grado
Gradualisierung,graduación
Graduierung,graduación
Grafik,gráfico
Grammatik,gramática
Graphologie,grafología
Greentech,tecnología verde
Grenze,límite
Grenzziehung,delimitación
Griff,agarre
Grosszügigkeit,generosidad
Großmütigkeit,magnanimidad
Großzügigkeit,generosidad
Grund,razón
Grundlage,base
Grundlagenforschung,investigación básica
Grundsatz,principio
Grundsatzfrage,cuestión de principio
Grundsätze,fundamentos
Gruppe,grupo
gruppendenken,pensamiento grupal
Gruppendynamik,dinámica grupal
Gruppenwechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio grupal
Gruß,saludo
Größe,tamaño
Gunst,favor
gut,bien
Gymnasium,instituto
Gültigkeit,validez
Güte,bondad
gütezeichen,sello de calidad
Haar,cabello
Habe,posesión
Habgier,avaricia
Habitus,habitus
hafen,puerto
Haft,detención
Haltbarkeit,durabilidad
Haltung,actitud
Hand,mano
Handel,comercio
Handelsüblich,comercial
Handlung,acción
Handlungsfähigkeitskrisesoziologie,sociología de crisis de capacidad de acción
Handlungsorientierung,orientación a la acción
Handlungsperspektive,perspectiva de acción
Handlungstheorie,teoría de la acción
Handwerk,artesanía
Harmlosigkeit,inofensividad
Harmonie,armonía
Harmoniezuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento armonioso
Hartnäckigkeit,tenacidad
Hass,odio
Hauptstrom,corriente principal
Haushalt,hogar
Haut,piel
Hedonismus,hedonismo
Heft,cuaderno
Hegemonie,hegemonía
Heiligkeit,santidad
Heilung,curación
Heilungsauftrag,mandato sanador
Heilungssoziologie,sociología de la curación
Heimat,patria
Heirat,matrimonio
Heiterkeit,alegría
Hektik,agitación
Held,héroe
Helligkeit,claridad
Hemd,camisa
Hemmung,inhibición
Herausforderung,desafío
Herberge,albergue
Herbst,otoño
Herd,cocina
Herkunft,origen
Hermeneutik,hermenéutica
hermeneutikverfahren,procedimiento hermenéutico
Herr,señor
Herrschaft,dominio
Herrschaftssoziologie,sociología de la dominación
Herstellung,fabricación
Herz,corazón
Herzentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo del corazón
Herzlichkeit,cordialidad
Heterogenität,heterogeneidad
Heterosexualität,heterosexualidad
Hetze,agitación
Heuchelei,hipocresía
Heuristik,heurística
Hierarchie,jerarquía
Hierarchiedifferenzierung,diferenciación jerárquica
Hierarchiesoziologie,sociología jerárquica
Hierarchisierung,jerarquización
Hilfe,ayuda
Hilfeauftrag,mandato de ayuda
Hilfesoziologie,sociología de la ayuda
Hilfsauftrag,mandato de ayuda
Hilfsbereitschaft,disposición a ayudar
Himmel,cielo
Hinblick,consideración
Hindernis,obstáculo
Hinduismus,hinduismo
Hingabe,dedicación
hintergrundwissen,conocimiento de fondo
Hinweis,indicación
Hirn,cerebro
Hisotrie,historia
Historiographie,historiografía
Hitze,calor
Hobby,pasatiempo
Hochbegabungssoziologie,sociología de la alta capacidad
Hochkultursoziologie,sociología de alta cultura
Hochzeit,boda
Hof,patio
Hoffnung,esperanza
Hoffnungssoziologie,sociología de la esperanza
Hohn,burla
Holismus,holismo
Homogenisierung,homogeneización
Homogenität,homogeneidad
Homophobie,homofobia
Horizont,horizonte
Horizonterweiterung,ampliación del horizonte
Hose,pantalones
Hotel,hotel
Humanismus,humanismo
Humanität,humanidad
Humor,humor
Hund,perro
Hunger,hambre
Hut,sombrero
Hybridisierung,hibridación
Hybridkultursoziologie,sociología de cultura híbrida
Hybris,hibris
Hydraulik,hidráulica
Hygiene,higiene
Hymne,himno
Hypnose,hipnosis
Hypothek,hipoteca
Hypothese,hipótesis
Hämatologie,hematología
Härte,dureza
Häuslichkeit,domesticidad
Höflichkeit,cortesía
Höhe,altura
Höhepunkt,punto culminante
Hörigkeit,servidumbre
Hügel,colina
Ichbezogenheit,egocentrismo
Ideal,ideal
Idealismus,idealismo
Idee,idea
Ideenentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo de ideas
Identität,identidad
Identitätsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo identitario
Identitätsgestaltungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la configuración identitaria
Identitätskonstruktion,construcción de identidad
Identitätskrise,crisis de identidad
Identitätskrisesoziologie,sociología de crisis identitaria
Identitätsoziologie,sociología identitaria
Identitätssuche,búsqueda de identidad
Identitätsverlustsoziologie,sociología de la pérdida identitaria
Identitätswandelsoziologie,sociología del cambio identitario
Ideologie,ideología
Ideologiekritik,crítica ideológica
Ideologiewechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio ideológico
Idolatrie,idolatría
Ignoranz,ignorancia
Illegalität,ilegalidad
Illusion,ilusión
Image,imagen
Immunisierung,inmunización
Immunität,inmunidad
Imperialismus,imperialismo
Implementierungssoziologie,sociología de la implementación
Import,importación
Impuls,impulso
Inbegriff,epítome
Inbrunst,fervor
indikatoren,indicadores
Individualisierung,individualización
Individualisierungsprozeß,proceso de individualización
individualisierungstendenzen,tendencias de individualización
Individualismus,individualismo
Individualsoziologie,sociología individual
Industrialisierung,industrialización
Industrialismus,industrialismo
Industrie,industria
Industriesoziologie,sociología industrial
Infantilität,infantilidad
Inferenz,inferencia
Infizierung,infección
Informationsauftrag,mandato informativo
Informationssoziologie,sociología de la información
Informationstechnologie,tecnología de la información
Informationstheorie,teoría de la información
Informationsverantwortung,responsabilidad informativa
Informationsverarbeitung,procesamiento de información
Informationsverteilung,distribución de la información
Infrastruktur,infraestructura
ingenieurswesen,ingeniería
Inhalt,contenido
Initiative,iniciativa
Inklusion,inclusión
Inklusionsauftrag,mandato inclusivo
Inklusionsbemühung,esfuerzo de inclusión
Inklusionsperspektive,perspectiva inclusiva
Inkonsistenz,inconsistencia
Innenstadt,centro de la ciudad
Innerlichkeitszuwachsbereitschaftskrisesoziologie,sociología de crisis de disposición al crecimiento interior
Innovationsauftrag,mandato innovador
Innovationsbereitschaft,disposición a la innovación
Innovationsbereitschaftskrisesoziologie,sociología de crisis de disposición a la innovación
Innovationsdynamik,dinámica de innovación
Innovationsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo innovador
Innovationsfreude,alegría de innovar
Innovationsgestaltungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la configuración innovadora
Innovationsorientierung,orientación innovadora
Innovationsperspektive,perspectiva de innovación
Innovationsprinzip,principio de innovación
Innovationssoziologie,sociología de la innovación
Innovationsverantwortung,responsabilidad innovadora
Innovativitätsoziologie,sociología de la capacidad innovadora
Inserat,anuncio
Insolvenz,insolvencia
Inspirationsentfaltung,desarrollo de la inspiración
Instabilität,inestabilidad
Instanz,instancia
Institut,instituto
Institutionalisierung,institucionalización
Institutionsoziologie,sociología institucional
Instrumentalisierung,instrumentalización
Instrumentengestaltungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la configuración instrumental
Integrationsauftrag,mandato integrador
Integrationsoziologie,sociología de la integración
Integrationsprinzip,principio de integración
Integrität,integridad
Intellektualismus,intelectualismo
Intellektualität,intelectualidad
Intelligenz,inteligencia
Intelligenzsoziologie,sociología de la inteligencia
Intensität,intensidad
Intensivierung,intensificación
Interaktionsform,forma de interacción
Interaktionsgestaltungsbereitschaftskrisesoziologie,sociología de crisis de disposición a la configuración interaccional
Interaktionsperspektive,perspectiva interaccional
Interdependenz,interdependencia
Interdisziplinarität,interdisciplinariedad
Interesse,interés
Interesselosigkeitssoziologie,sociología del desinterés
Interessenkonflikt,conflicto de intereses
Interessenperspektive,perspectiva de intereses
Interessenvertretungsoziologie,sociología de representación de intereses
Interkulturellesoziologie,sociología intercultural
Internationalisierungsorientierung,orientación internacional
Internationalismus,internacionalismo
Internet,internet
Internetsoziologie,sociología de internet
Interpretationsfolie,esquema interpretativo
Interview,entrevista
Intimität,intimidad
Intimiätsentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo de la intimidad
Intuitionsentfaltung,desarrollo de la intuición
Intuitionssoziologie,sociología de la intuición
Invalidität,invalidez
Invasion,invasión
Ironie,ironía
Irrationalität,irracionalidad
Irrealität,irrealidad
Irrtum,error
Islamisierung,islamización
Isolationismus,aislacionismo
Isolationssoziologie,sociología del aislamiento
Jahr,año
Jahrhundert,siglo
Jahrzehnt,década
Jammer,lamento
Journalismus,periodismo
Journalist,periodista
Jubel,júbilo
Jugend,juventud
Jugendbewegung,movimiento juvenil
Jugendkultursoziologie,sociología de cultura juvenil
Jugendsoziologie,sociología de la juventud
Junge,joven
Jurisprudenz,jurisprudencia
Justiz,justicia
Kabinett,gabinete
Kamera,cámara
Kameradschaft,camaradería
Kampagnensoziologie,sociología de campañas
Kampf,lucha
Kampfgeist,espíritu de lucha
Kandidat,candidato
Kapazitätserweiterung,ampliación de capacidades
Kapital,capital
Kapitalismus,capitalismo
Kapitel,capítulo
Karikatur,caricatura
Karriere,carrera
Karriereentwicklungsbereitschaftskrisesoziologie,sociología de crisis de disposición al desarrollo de carrera
Karrierewechselbereitschaftskrisesoziologie,sociología de crisis de disposición al cambio de carrera
Karrierismus,arribismo
Karte,tarjeta
Kartoffel,patata
Katastrophenhilfesoziologie,sociología de ayuda en catástrofes
Katastrophensoziologie,sociología de catástrofes
Katastrophismus,catastrofismo
Kategorie,categoría
Kategorisierung,categorización
Katholizismus,catolicismo
Katze,gato
Kauf,compra
Kausalität,causalidad
Kehle,garganta
Kennerschaft,pericia
Kenntnis,conocimiento
